English,Where it appears,Screen / file,Placeholders,Keep English,Note
CPU,Account → Hosting,"account/hosting, account/partials/hosting-card, shared/hosting-history (+1 more)",,yes,
RAM,Account → Hosting,"account/hosting, account/partials/hosting-card, shared/hosting-history (+1 more)",,yes,
Cancel,Account → Hosting,"account/hosting, account/payments/partials/context-menu, account/profile (+10 more)",,,
Close,Account → Hosting,"account/hosting, dashboard/partials/birdseye-section, dashboard/partials/sandbox-card (+11 more)",,,
Billing,Account → Hosting,"account/hosting, dashboard/partials/birdseye-section, dashboard/partials/warble-section",,,
Nothing here yet.,Account → Hosting,"account/hosting, roadmap/index",,,
Deleted,Account → Billing,account/payments/edit,,,
Payment ID,Account → Billing,"account/payments/edit, account/payments/index",,,
Amount,Account → Billing,"account/payments/edit, account/payments/index, account/payments/invoice",,,
Processor,Account → Billing,"account/payments/edit, account/payments/index, account/profile",,,"Payment processor (Stripe), in Account → Billing. Not a CPU."
Plan,Account → Billing,"account/payments/edit, account/payments/index, account/profile (+4 more)",,,
Completed,Account → Billing,"account/payments/edit, account/payments/index, maintenance/index",,,
Month,Account → Billing,"account/payments/edit, account/payments/invoice",,,
One-time,Account → Billing,"account/payments/edit, account/payments/invoice",,,
Year,Account → Billing,"account/payments/edit, account/payments/invoice",,,
Edit,Account → Billing,"account/payments/edit, account/payments/partials/context-menu, account/profile (+16 more)",,,
Admin,Account → Billing,"account/payments/edit, account/profile, incidents/edit (+8 more)",,,
Payment,Account → Billing,account/payments/edit,,,
Invoice ID,Account → Billing,"account/payments/index, account/payments/invoice",,,
Search by,Account → Billing,"account/payments/index, developers/incidents/list, developers/monitors/list (+6 more)",,,
Sort by,Account → Billing,"account/payments/index, developers/incidents/list, developers/monitors/list (+6 more)",,,
Ascending,Account → Billing,"account/payments/index, developers/incidents/list, developers/monitors/list (+7 more)",,,
Descending,Account → Billing,"account/payments/index, developers/incidents/list, developers/monitors/list (+7 more)",,,
Results per page,Account → Billing,"account/payments/index, developers/incidents/list, developers/monitors/list (+6 more)",,,
Search,Account → Billing,"account/payments/index, incidents/index, monitors/checks (+7 more)",,,
Sort,Account → Billing,"account/payments/index, developers/incidents/list, developers/monitors/list (+7 more)",,,
All,Account → Billing,"account/payments/index, incidents/index, monitors/incidents (+2 more)",,,
Filters,Account → Billing,"account/payments/index, incidents/index, monitors/checks (+3 more)",,,
Reset,Account → Billing,"account/payments/index, incidents/index, monitors/checks (+3 more)",,,
Showing :from-:to of :total,Account → Billing,"account/payments/index, incidents/index, monitors/checks (+3 more)",:from :to :total,,
No results found.,Account → Billing,"account/payments/index, incidents/index, maintenance/index (+5 more)",,,
Date created,Account → Billing,"account/payments/index, developers/monitors/list, developers/status-pages/list (+2 more)",,,
Interval,Account → Billing,"account/payments/index, developers/monitors/store-update, monitors/edit (+2 more)",,,
Monthly,Account → Billing,"account/payments/index, checkout/index",,,
Yearly,Account → Billing,"account/payments/index, checkout/index",,,
Back,Account → Billing,account/payments/invoice,,,
Print,Account → Billing,account/payments/invoice,,,
Subtotal,Account → Billing,account/payments/invoice,,,
Client,Account → Billing,account/payments/invoice,,,
Discount,Account → Billing,"account/payments/invoice, checkout/index",,,
Description,Account → Billing,"account/payments/invoice, developers/parameters, maintenance/partials/fields (+2 more)",,,
Address,Account → Billing,"account/payments/invoice, checkout/index",,,
Phone,Account → Billing,"account/payments/invoice, checkout/index",,,
VAT number,Account → Billing,account/payments/invoice,,,
Vendor,Account → Billing,account/payments/invoice,,,Invoice field: the seller issuing the invoice. On the customer's invoice and in Admin → Settings → Invoicing. (Not the Composer sense — I got that wrong on the forum.)
City,Account → Billing,"account/payments/invoice, checkout/index",,,
Country,Account → Billing,"account/payments/invoice, checkout/index",,,
Postal code,Account → Billing,"account/payments/invoice, checkout/index",,,
State,Account → Billing,"account/payments/invoice, checkout/index",,,
excl.,Account → Billing,"account/payments/invoice, checkout/index",,,
incl.,Account → Billing,"account/payments/invoice, checkout/index",,,
Total,Account → Billing,"account/payments/invoice, checkout/index",,,
Are you sure you want to cancel :name?,Account → Billing,account/payments/partials/context-menu,:name,,
"A bespoke website, built from scratch and fully managed — hosting, uptime monitoring and minor ongoing changes included. One simple yearly price, no separate build invoice.",Account → Custom site,account/custom-site/register,,,
Billed yearly. Fully refundable if I'm unable to take on your project after we talk.,Account → Custom site,account/custom-site/register,,,
Custom Site Hosting,Account → Custom site,account/custom-site/register,,yes,
Designed and built for you — not a template.,Account → Custom site,account/custom-site/register,,,
How it works,Account → Custom site,account/custom-site/register,,,
I reach out within 2–3 business days to scope exactly what you want.,Account → Custom site,account/custom-site/register,,,
"I understand I'm paying up front to reserve a build slot, and that I'll be fully refunded if my project isn't accepted.",Account → Custom site,account/custom-site/register,,,
"If it's a good fit, your build starts. If for any reason I can't take it on, you get a full refund — no risk.",Account → Custom site,account/custom-site/register,,,
"Managed hosting, SSL and uptime monitoring included.",Account → Custom site,account/custom-site/register,,,
"Minor changes each month (text, images, small tweaks) included. Larger work is quoted separately.",Account → Custom site,account/custom-site/register,,,
Optional: we register and manage your domain for you. You always own it and can take it with you.,Account → Custom site,account/custom-site/register,,,
Please confirm to continue.,Account → Custom site,account/custom-site/register,,,
Register & Pay,Account → Custom site,account/custom-site/register,,,
Register a custom site,Account → Custom site,account/custom-site/register,,,
You register and pay below.,Account → Custom site,account/custom-site/register,,,
Hosting,Account → Custom site,"account/custom-site/register, account/hosting",,,
Custom site,Account → Custom site,"account/custom-site/register, account/hosting",,yes,
year,Account → Custom site,"account/custom-site/register, birdseye/index, dashboard/partials/birdseye-section (+1 more)",,,
Contact me,Custom sites,custom-sites/invite-invalid,,,
Invitation unavailable,Custom sites,custom-sites/invite-invalid,,,
This invitation isn't available,Custom sites,custom-sites/invite-invalid,,,
"This invitation link has expired, already been used, or been withdrawn. If you think it should still work, just get in touch and I'll sort it out.",Custom sites,custom-sites/invite-invalid,,,
Custom websites,Custom sites,"custom-sites/invite-invalid, custom-sites/invite-mismatch",,yes,
Sign out,Custom sites,custom-sites/invite-mismatch,,,
Sign out and sign back in (or register) with :invited to continue.,Custom sites,custom-sites/invite-mismatch,:invited,,
This invitation is for a different account,Custom sites,custom-sites/invite-mismatch,,,
Wrong account,Custom sites,custom-sites/invite-mismatch,,,
"Your invitation was sent to :invited, but you're signed in as :current.",Custom sites,custom-sites/invite-mismatch,:invited :current,,
"3–63 characters: letters, numbers and hyphens. DNS and SSL are set up automatically.",Checkout,checkout/complete,,,
Enter the domain or subdomain you want your forum hosted on. We'll include the server IP and DNS instructions in your forum's changelog.,Checkout,checkout/complete,,,
Enter the domain or subdomain you want your forum hosted on. You'll point a CNAME record at :target — we issue SSL automatically. Setup instructions land in your forum's changelog.,Checkout,checkout/complete,:target,,
Free subdomain,Checkout,checkout/complete,,,
I have my own domain,Checkout,checkout/complete,,,
no DNS setup needed,Checkout,checkout/complete,,,
"Payment received. While we deploy your site, choose the address your forum will live at — you can change it later from your hosting panel.",Checkout,checkout/complete,,,
Pick your subdomain,Checkout,checkout/complete,,,
Skip for now,Checkout,checkout/complete,,,
Your forum domain,Checkout,checkout/complete,,,
Your new forum is being provisioned,Checkout,checkout/complete,,,
:name plan,Checkout,checkout/index,:name,,
"Billed :interval, after trial ends.",Checkout,checkout/index,:interval,,
Billed :interval.,Checkout,checkout/index,:interval,,
Billed once.,Checkout,checkout/index,,,
Billed yearly,Checkout,checkout/index,,,
"By continuing, you agree with the :terms and authorize :title to charge your payment method on a recurring basis.",Checkout,checkout/index,:terms :title,,
"By continuing, you agree with the :terms.",Checkout,checkout/index,:terms,,
Checkout,Checkout,checkout/index,,,
Coupon code,Checkout,checkout/index,,,
Days,Checkout,checkout/index,,,
Have a coupon code?,Checkout,checkout/index,,,
Need help?,Checkout,checkout/index,,,
Not billed.,Checkout,checkout/index,,,
Order summary,Checkout,checkout/index,,,
Pay :amount :currency,Checkout,checkout/index,:amount :currency,,
Skip trial,Checkout,checkout/index,,,
Unlimited,Checkout,checkout/index,,,
You can cancel your subscription at any time.,Checkout,checkout/index,,,
Get in touch with us.,Checkout,"checkout/index, contact/index",,,
Start,Checkout,"checkout/index, maintenance/partials/fields",,,
Apply,Checkout,"checkout/index, monitors/partials/header",,,
Payment pending,Checkout,checkout/pending,,,
The payment is pending approval.,Checkout,checkout/pending,,,
Confirm payment,Checkout,checkout/processors/stripe,,,
Register,Sign in / register,"auth/login, auth/register, home/index (+1 more)",,,
Terms of service,Sign in / register,"auth/register, checkout/index",,,
Validate,Sign in / register,"auth/tfa, status-pages/password",,,
Add the first entry,"Site chrome (header, footer, search)",shared/changelog-infinite,,,
Loading…,"Site chrome (header, footer, search)","shared/changelog-infinite, shared/hosting-stats",,,
:year ,"Site chrome (header, footer, search)",shared/footer,:year,yes,
Company,"Site chrome (header, footer, search)",shared/footer,,,
Resources,"Site chrome (header, footer, search)",shared/footer,,,
The web service for Flarum — tools and hands-on help for forum owners.,"Site chrome (header, footer, search)",shared/footer,,,
Products,"Site chrome (header, footer, search)","shared/footer, shared/header",,,
Logout,"Site chrome (header, footer, search)",shared/header,,,
Menu,"Site chrome (header, footer, search)",shared/header,,,
"A day counts when a container spends 15+ minutes above 85% of its limit — composer runs, backups, and repairs are filtered out.","Site chrome (header, footer, search)",shared/hosting-capacity,,,
Capacity (last :days days),"Site chrome (header, footer, search)",shared/hosting-capacity,:days,,
Container,"Site chrome (header, footer, search)",shared/hosting-capacity,,,"Docker container, in the hosting capacity readout."
Days near limit,"Site chrome (header, footer, search)",shared/hosting-capacity,,,
Headroom OK,"Site chrome (header, footer, search)",shared/hosting-capacity,,,
Near limits repeatedly,"Site chrome (header, footer, search)",shared/hosting-capacity,,,
Peak CPU (of quota),"Site chrome (header, footer, search)",shared/hosting-capacity,,,
Peak RAM,"Site chrome (header, footer, search)",shared/hosting-capacity,,,
This client has hit sustained peaks near their tier limits on several days. Consider advising a tier upgrade (or a buffer-pool bump if it is the database).,"Site chrome (header, footer, search)",shared/hosting-capacity,,,
Redis,"Site chrome (header, footer, search)",shared/hosting-history,,yes,
Resource History,"Site chrome (header, footer, search)",shared/hosting-history,,,
Live Resource Usage,"Site chrome (header, footer, search)",shared/hosting-stats,,,
Stats not yet available. They appear within 5 minutes of deployment.,"Site chrome (header, footer, search)",shared/hosting-stats,,,
Change language,"Site chrome (header, footer, search)",shared/language-switcher,,,
Close search,"Site chrome (header, footer, search)",shared/search-modal,,,
No results.,"Site chrome (header, footer, search)",shared/search-modal,,,
Search the site…,"Site chrome (header, footer, search)",shared/search-modal,,,
Toggle dark mode,"Site chrome (header, footer, search)",shared/theme-toggle,,,
View,Shared UI label,"incidents/partials/context-menu, monitors/partials/context-menu, status-pages/partials/context-menu",,,
Actions,Shared UI label,"incidents/index, monitors/index, status-pages/index",,,
Title,Shared UI label,"maintenance/index, maintenance/partials/fields",,,
Are you sure you want to delete :name?,Shared UI label,"incidents/partials/context-menu, maintenance/index, monitors/partials/context-menu (+2 more)",:name,,
Dashboard,Shared UI label,"checkout/cancelled, checkout/complete, checkout/pending (+3 more)",,,
Notes,Developers (API docs),developers/notes,,,
Post,Incidents,incidents/show,,,
Overview,Monitors,monitors/partials/header,,,
Expires :when,Dashboard,dashboard/partials/sandbox-card,:when,,
Custom,Monitors,monitors/partials/header,,,
Endpoint,Dashboard,dashboard/partials/warble-section,,,
Uptime,Shared UI label,"dashboard/index, emails/monthly-sla-report, monitoring/index (+3 more)",,,
renews :date,Dashboard,dashboard/partials/birdseye-section,:date,,
Show,Shared UI label,"dashboard/partials/birdseye-section, dashboard/partials/sandbox-card, dashboard/partials/sandbox-section (+6 more)",,,"In the API docs this is the HTTP verb for fetching one record; elsewhere it is the ordinary ""reveal this panel"" button."
Hide,Dashboard,"dashboard/partials/birdseye-section, dashboard/partials/sandbox-section, dashboard/partials/warble-section",,,
Pending DNS,Status page (public),status-pages/edit,,,
Are you sure you want to delete :count records?,Shared UI label,"incidents/index, monitors/index, status-pages/index",:count,,
Bulk actions,Shared UI label,"incidents/index, monitors/index, status-pages/index",,,
Deleted monitor,Shared UI label,"dashboard/partials/uptime-section, incidents/index",,,
Date ended,Shared UI label,"developers/incidents/list, incidents/index, monitors/incidents",,,
Date started,Shared UI label,"developers/incidents/list, incidents/index, monitors/incidents",,,
Unresolved,Shared UI label,"developers/incidents/list, incidents/index, monitors/incidents",,,
Acknowledged,Shared UI label,"developers/incidents/list, incidents/index, monitors/incidents (+1 more)",,,
Status page,Shared UI label,"monitors/index, status-pages/edit, status-pages/new",,,
Unknown,Shared UI label,"incidents/show, monitors/checks, monitors/overview",,,
Public,Shared UI label,"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Trial days,Checkout,checkout/index,,,
Default,Status page (public),"status-pages/edit, status-pages/new",,,
optional,Dashboard,dashboard/partials/sandbox-section,,,
Location,Shared UI label,"incidents/show, monitors/checks",,,
Owner,Monitors,monitors/partials/domain-status-tooltip,,,
Ended,Shared UI label,"incidents/index, incidents/partials/tooltip, incidents/show (+1 more)",,,
New,Shared UI label,"incidents/index, incidents/new, maintenance/index (+5 more)",,,
Login,Shared UI label,"auth/login, auth/register, home/index (+1 more)",,,
Private,Shared UI label,"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Host,Shared UI label,"dashboard/partials/warble-section, monitors/edit, monitors/new",,,
Port,Shared UI label,"dashboard/partials/warble-section, monitors/edit, monitors/new",,,
Browse,Status page (public),"sponsor/index, status-pages/edit, status-pages/new",,,
Logo,Shared UI label,"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Choose file,Status page (public),"status-pages/edit, status-pages/new",,,
Favicon,Shared UI label,"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Language,Shared UI label,"shared/language-modal, status-pages/edit, status-pages/new",,,
General,Dashboard,warble/index,,,
Theme,Status page (public),"status-pages/edit, status-pages/new",,,
Billing information,Checkout,checkout/index,,,
Live,Shared UI label,"monitoring/index, shared/hosting-stats, warble/index",,,
Secret,Dashboard,dashboard/partials/warble-section,,,
Webhook URL,Monitors,"monitors/edit, monitors/new, monitors/partials/advanced-alerting",,,
Learn more at :url.,Monitors,"monitors/edit, monitors/new",:url,,
Store,Developers (API docs),"developers/incidents/index, developers/monitors/index, developers/status-pages/index",,,"HTTP verb, not a shop: heading in the API docs verb list (List / Show / Store / Update) and the badge on the ""record created"" webhook field. It means create a new record."
Update,Developers (API docs),"developers/incidents/index, developers/monitors/index, developers/status-pages/index",,,"HTTP verb in the API docs verb list, next to List / Show / Store."
Developers,Developers (API docs),"developers/account/index, developers/incidents/index, developers/index (+3 more)",,,
API endpoint,Developers (API docs),"developers/account/index, developers/incidents/index, developers/monitors/index (+2 more)",,,
Request example,Developers (API docs),"developers/account/index, developers/incidents/index, developers/monitors/index (+2 more)",,,
List,Developers (API docs),"developers/incidents/index, developers/monitors/index, developers/status-pages/index",,,HTTP verb in the API docs verb list (returns a collection).
Monitor ID,Developers (API docs),"developers/incidents/list, developers/incidents/store-update, developers/status-pages/list",,,
:value for :name,Developers (API docs),"developers/incidents/list, developers/monitors/list, developers/monitors/store-update (+3 more)",:value :name,,
Defaults to: :value.,Developers (API docs),"developers/incidents/list, developers/monitors/list, developers/monitors/store-update (+3 more)",:value,,
Possible values are: :values.,Developers (API docs),"developers/incidents/list, developers/monitors/list, developers/monitors/store-update (+3 more)",:values,,
The search query.,Developers (API docs),"developers/incidents/list, developers/monitors/list, developers/status-pages/list",,,
Acknowledged at date in :format format.,Developers (API docs),developers/incidents/store-update,:format,,
Ended at date in :format format.,Developers (API docs),developers/incidents/store-update,:format,,
Started at date in :format format.,Developers (API docs),developers/incidents/store-update,:format,,
Explore our API documentation.,Developers (API docs),developers/index,,,
Manage the account.,Developers (API docs),developers/index,,,
Manage the incidents.,Developers (API docs),developers/index,,,
Manage the monitors.,Developers (API docs),developers/index,,,
Manage the stats.,Developers (API docs),developers/index,,,
Manage the status pages.,Developers (API docs),developers/index,,,
Stats,Developers (API docs),"developers/index, developers/stats/index",,,
Status page ID,Developers (API docs),developers/monitors/list,,,
Password for Basic HTTP request authentication.,Developers (API docs),developers/monitors/store-update,,,
Request header name.,Developers (API docs),developers/monitors/store-update,,,
Request header value.,Developers (API docs),developers/monitors/store-update,,,
Request method,Developers (API docs),developers/monitors/store-update,,,
Text to be looked-up to trigger alerts.,Developers (API docs),developers/monitors/store-update,,,
Username for Basic HTTP request authentication.,Developers (API docs),developers/monitors/store-update,,,
Value of the alert.,Developers (API docs),developers/monitors/store-update,,,
Only works with :field field set to :value.,Developers (API docs),"developers/monitors/store-update, developers/status-pages/store-update",:field :value,,
Alert channels,Developers (API docs),"developers/monitors/store-update, monitors/edit, monitors/new",,,
Alert condition,Developers (API docs),"developers/monitors/store-update, monitors/edit, monitors/new",,,
Cache buster,Developers (API docs),"developers/monitors/store-update, monitors/edit, monitors/new",,,Monitor option: a query parameter appended to the checked URL so a cache cannot serve a stale response.
The number of days before domain name expiration to receive an alert.,Developers (API docs),"developers/monitors/store-update, monitors/edit, monitors/new",,,
The number of days before SSL certificate expiration to receive an alert.,Developers (API docs),"developers/monitors/store-update, monitors/edit, monitors/new",,,
Pause,Developers (API docs),"developers/monitors/store-update, monitors/partials/context-menu",,,
Expert level,Developers (API docs),developers/notes,,,
Get your API key,Developers (API docs),developers/notes,,,
The API key should be sent as a Bearer token in the Authorization header of the request.,Developers (API docs),developers/notes,,,
Optional,Developers (API docs),developers/parameters,,,
Parameter,Developers (API docs),developers/parameters,,,
Required,Developers (API docs),developers/parameters,,,
Ending date in :format format.,Developers (API docs),developers/stats/list,:format,,
Starting date in :format format.,Developers (API docs),developers/stats/list,:format,,
Contact URL,Developers (API docs),developers/status-pages/store-update,,,
Monitor IDs,Developers (API docs),developers/status-pages/store-update,,,
Must be set to :value.,Developers (API docs),developers/status-pages/store-update,:value,,
Remove favicon,Developers (API docs),developers/status-pages/store-update,,,
Remove logo,Developers (API docs),developers/status-pages/store-update,,,
Custom domain,Developers (API docs),"developers/status-pages/store-update, status-pages/edit",,,
Exclude the status page from search engines.,Developers (API docs),"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Privacy,Developers (API docs),"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Slug,Developers (API docs),"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
Website URL,Developers (API docs),"developers/status-pages/store-update, status-pages/edit, status-pages/new",,,
About,Public page,"about, shared/footer",,,
Start your free trial,Public page,"birdseye/index, dashboard/partials/birdseye-section",,,
Response time,Public page,"monitoring/index, monitors/checks, monitors/overview",,,
:number checks,Public page,"monitoring/index, monitors/overview",:number,,
checked :ns ago,Public page,"monitoring/index, monitors/overview",:ns,,
checked just now,Public page,"monitoring/index, monitors/overview",,,
Unauthorized,Error pages,errors/401,,,
Go back,Error pages,"errors/401, errors/402, errors/403 (+8 more)",,,
Payment required,Error pages,errors/402,,,
Forbidden,Error pages,errors/403,,,
Not found,Error pages,errors/404,,,
Page expired,Error pages,errors/419,,,
Too many requests,Error pages,errors/429,,,
Server error,Error pages,errors/500,,,
Service unavailable,Error pages,errors/503,,,
[Hosting] Your week on :domain,Email,Mail/AnalyticsDigestMail,:domain,,
Your invitation to a custom website build,Email,Mail/CustomSiteInviteMail,,,
Your forum is live — set your admin password,Email,Mail/HostingReadyMail,,,
:name is experiencing issues.,Email,Mail/IncidentNotificationMail,:name,,
:name — incident reported,Email,Mail/IncidentNotificationMail,:name,,
:name — incident resolved,Email,Mail/IncidentNotificationMail,:name,,
:name — incident update,Email,Mail/IncidentNotificationMail,:name,,
A service,Email,Mail/IncidentNotificationMail,,,Stands in for a monitor name in incident emails when the name is withheld.
The incident affecting :name has been resolved.,Email,Mail/IncidentNotificationMail,:name,,
There is an update on the incident affecting :name.,Email,Mail/IncidentNotificationMail,:name,,
View status page,Email,"Mail/IncidentNotificationMail, Mail/MaintenanceNotificationMail",,,
Severity,Email,"Mail/IncidentNotificationMail, incidents/edit, incidents/new (+1 more)",,,
Affected services,Email,Mail/MaintenanceNotificationMail,,,
Maintenance completed: :title,Email,Mail/MaintenanceNotificationMail,:title,,
Maintenance has been scheduled: :title.,Email,Mail/MaintenanceNotificationMail,:title,,
Maintenance in progress: :title,Email,Mail/MaintenanceNotificationMail,:title,,
Scheduled maintenance has been completed: :title.,Email,Mail/MaintenanceNotificationMail,:title,,
Scheduled maintenance is now in progress: :title.,Email,Mail/MaintenanceNotificationMail,:title,,
Scheduled maintenance: :title,Email,Mail/MaintenanceNotificationMail,:title,,
Period,Email,"Mail/MaintenanceNotificationMail, incidents/edit, incidents/new (+2 more)",,,
View monitor,Email,Mail/MonitorStatusMail,,,
Your :month uptime report,Email,"Mail/MonthlySlaReportMail, emails/monthly-sla-report",:month,,
Invoice,Email,"Mail/PaymentMail, account/payments/edit, account/payments/index (+2 more)",,,
Payment cancelled,Email,"Mail/PaymentMail, checkout/cancelled",,,
The payment was cancelled.,Email,"Mail/PaymentMail, checkout/cancelled",,,
The payment was successful.,Email,"Mail/PaymentMail, checkout/complete",,,
Payment completed,Email,"Mail/PaymentMail, checkout/complete, checkout/pending",,,
Confirm subscription,Email,Mail/SubscribeVerificationMail,,,
Confirm your subscription,Email,Mail/SubscribeVerificationMail,,,
"If you didn't request this, you can safely ignore this email.",Email,Mail/SubscribeVerificationMail,,,
You requested email notifications for incidents on :name. Click the button below to confirm.,Email,Mail/SubscribeVerificationMail,:name,,
Security code,Email,Mail/TfaMail,,,
"If you did not update your email address, no further action is required.",Email,Mail/VerifyNewEmailMail,,,
Please click the button below to verify your email address.,Email,Mail/VerifyNewEmailMail,,,
Verify new email address,Email,Mail/VerifyNewEmailMail,,,
[Warble] Your free realtime endpoint is paused — resume anytime,Email,Mail/WarbleIdlePausedMail,,,
[Warble] Your free realtime endpoint has been quiet — it pauses in a week,Email,Mail/WarbleIdleWarningMail,,,
[Warble] Your week: peak :peak of :cap connections,Email,Mail/WarbleStatsMail,:peak :cap,,
Resource not found.,Message after an action,"Http/Controllers/API/AccountController, Http/Controllers/API/IncidentController, Http/Controllers/API/MonitorController (+3 more)",,,
You have been logged out on all other devices.,Message after an action,Http/Controllers/AccountController,,,
Settings saved.,Message after an action,"Http/Controllers/AccountController, Http/Controllers/AdminController, Http/Controllers/HostingController (+4 more)",,,
A new verification link has been sent to your email address.,Message after an action,"Http/Controllers/AccountController, auth/verify",,,
:name already has a comped Warble.,Message after an action,Http/Controllers/AdminController,:name,,
Note deleted.,Message after an action,Http/Controllers/AdminController,,,
Note saved.,Message after an action,Http/Controllers/AdminController,,,
Note updated.,Message after an action,Http/Controllers/AdminController,,,
Operation denied.,Message after an action,Http/Controllers/AdminController,,,
Warble comped for :name — provisioning :host.,Message after an action,Http/Controllers/AdminController,:name :host,,
:name has been deleted.,Message after an action,"Http/Controllers/AdminController, Http/Controllers/IncidentController, Http/Controllers/MaintenanceWindowController (+3 more)",:name,,
:count records have been deleted.,Message after an action,"Http/Controllers/AdminController, Http/Controllers/IncidentController, Http/Controllers/MonitorController (+1 more)",:count,,
:name has been created.,Message after an action,"Http/Controllers/AdminController, Http/Controllers/MonitorController, Http/Controllers/StatusPageController",:name,,
"Couldn't send the email, but the invite exists. Copy the link manually: :link",Message after an action,Http/Controllers/AdminCustomSiteInviteController,:link,,
Couldn't send the email. Link: :link,Message after an action,Http/Controllers/AdminCustomSiteInviteController,:link,,
Invitation re-sent to :email.,Message after an action,Http/Controllers/AdminCustomSiteInviteController,:email,,
Invitation sent to :email. Link: :link,Message after an action,Http/Controllers/AdminCustomSiteInviteController,:email :link,,
Invitation to :email revoked.,Message after an action,Http/Controllers/AdminCustomSiteInviteController,:email,,
Only a pending invite can be revoked.,Message after an action,Http/Controllers/AdminCustomSiteInviteController,,,
This invite has been used or revoked and can't be resent.,Message after an action,Http/Controllers/AdminCustomSiteInviteController,,,
A new security code has been sent to your email address.,Message after an action,Http/Controllers/Auth/LoginController,,,
The security code is expired.,Message after an action,Http/Controllers/Auth/LoginController,,,
The security code is incorrect.,Message after an action,Http/Controllers/Auth/LoginController,,,
Birdseye cancelled. Your forum keeps every stat already in its database.,Message after an action,Http/Controllers/BirdseyeController,,,
Birdseye removed.,Message after an action,Http/Controllers/BirdseyeController,,,
Key rotated — paste the new key into the Birdseye extension on your forum.,Message after an action,Http/Controllers/BirdseyeController,,,
Billing portal not available yet — your subscription is still being set up.,Message after an action,"Http/Controllers/BirdseyeController, Http/Controllers/HostingController, Http/Controllers/WarbleController",,,
Stripe returned no portal URL.,Message after an action,"Http/Controllers/BirdseyeController, Http/Controllers/HostingController, Http/Controllers/WarbleController",,,
Could not start checkout. Please try again.,Message after an action,"Http/Controllers/BirdseyeController, Http/Controllers/SandboxController, Http/Controllers/WarbleController",,,
Could not open the billing portal — please try again.,Message after an action,"Http/Controllers/BirdseyeController, Http/Controllers/WarbleController",,,
Issues of the newsletter from,Message after an action,Http/Controllers/BlogController,,,"RSS feed description, with the site name appended: ""Issues of the newsletter from Link Robins"". ""from"" = from us, not a date — so the current 发布于 / 發布於 reading is wrong."
Post deleted.,Message after an action,Http/Controllers/BlogController,,,
Post moved to draft.,Message after an action,Http/Controllers/BlogController,,,
Post published.,Message after an action,Http/Controllers/BlogController,,,
Post saved and live — but the forum comments thread could not be created. Save again to retry.,Message after an action,Http/Controllers/BlogController,,,
Posted,Message after an action,Http/Controllers/BlogController,,,
Blog,Message after an action,"../../app/Http/Controllers/BlogController, ../../app/Http/Controllers/SearchController, blog/index (+4 more)",,,
Updated,Message after an action,"Http/Controllers/BlogController, Http/Controllers/SponsoredContentController",,,
We've received your message.,Message after an action,Http/Controllers/ContactController,,,
Thank you!,Message after an action,"Http/Controllers/ContactController, Mail/PaymentMail",,,
Cancellation is already scheduled for this forum.,Message after an action,Http/Controllers/HostingAddonController,,,
Cancellation scheduled. Your forum stays active until the end of your current billing period.,Message after an action,Http/Controllers/HostingAddonController,,,
"Could not cancel right now. Please try again, or contact support.",Message after an action,Http/Controllers/HostingAddonController,,,
"Could not reactivate right now. Please try again, or contact support.",Message after an action,Http/Controllers/HostingAddonController,,,
Domain saved: :domain,Message after an action,Http/Controllers/HostingAddonController,:domain,,
Free month applied! Your next charge has been pushed back 30 days.,Message after an action,Http/Controllers/HostingAddonController,,,
Hosting forum not found.,Message after an action,Http/Controllers/HostingAddonController,,,
Please enter a valid domain name (e.g. forum.example.com).,Message after an action,Http/Controllers/HostingAddonController,,,
Please pick a subdomain name.,Message after an action,Http/Controllers/HostingAddonController,,,
Reactivated. Your subscription will renew normally.,Message after an action,Http/Controllers/HostingAddonController,,,
"Subdomain names are 3–63 characters: letters, numbers and hyphens.",Message after an action,Http/Controllers/HostingAddonController,,,
That domain can't be used — please try another.,Message after an action,Http/Controllers/HostingAddonController,,,
That name is already in use — please pick another.,Message after an action,Http/Controllers/HostingAddonController,,,
This hosting forum has no active subscription to cancel.,Message after an action,Http/Controllers/HostingAddonController,,,
This hosting forum has no active subscription.,Message after an action,Http/Controllers/HostingAddonController,,,
This hosting forum is already scheduled for cancellation.,Message after an action,Http/Controllers/HostingAddonController,,,
This hosting forum is not scheduled for cancellation.,Message after an action,Http/Controllers/HostingAddonController,,,
We could not apply the offer right now. Please try again or contact support.,Message after an action,Http/Controllers/HostingAddonController,,,
We couldn't match your domain to a forum yet — please add it from your forum's settings.,Message after an action,Http/Controllers/HostingAddonController,,,
We couldn't set up DNS just now — please try again in a moment.,Message after an action,Http/Controllers/HostingAddonController,,,
You have already claimed the retention offer for this forum.,Message after an action,Http/Controllers/HostingAddonController,,,
A fresh link is already on its way — please check your email in a minute.,Message after an action,Http/Controllers/HostingController,,,
Client marked as deployed.,Message after an action,Http/Controllers/HostingController,,,
